Artist ,Album,Year,Genre,Status
Pianos Become the Teeth,Old Pride,2009,Emo/Hardcore,Owned DM
Pile,Magic Isn't Real,2010,Rock/Post-punk,Want
Pinegrove,"Amperland, NY",2021,Indie/Folk,Owned DM
Pinegrove,Cardinal,2016,Indie/Folk,Owned DM
Pink Floyd,Atom Heart Mother,1970,Pysch Rock,Owned AB
Pity Sex,Feast of Love,2013,Shoegaze/Emo,Owned AB
Pixies,Doolittle,1989,Indie/Rock,Owned AB
Portishead,Dummy,1994,Pysch Rock,Owned DM
Rage Against the Machine,Evil Empire,1996,Alternative/Rock,Owned AB
Robert Glasper,Black Radio 3,2022,Soul/Jazz,Owned DM
Robert Glasper,Double Booked,2009,Jazz,Owned DM
Sam Cooke,Live at the Harlem Square Club,1963,Soul/Jazz,Owned DM
Seahaven,Winter Forever,2011,Punk/Emo,Owned DM
Seahaven,Reverie Lagoon,2014,Indie/Emo,Owned DM
Seahaven,Ghost,2011,Emo/Punk,Owned DM
Sigur Ros,(),2002,Post Rock,Owned DM
"Slaughter Beach, Dog",Safe and Also No Fear,2019,Folk,Want
Slowdive,Souvlaki,1963,Shoegaze/Indie,Owned AB
Sonic Youth,Goo,1990,Rock,Owned AB
Talking Heads,Little Creatures,1985,Alternative/Rock,Owned AB
Taylor Swift,Folklore,2020,Folk/Pop,Owned DM
Tears For Fears,Songs from the Big Chair,1985,Synth Pop/New Wave,Owned AB
The Antlers,Hospice,2009,Shoegaze/Emo,Owned DM
The Beegees,Greatest Hits,1966,Pop,Owned DM
The Doors,The Soft Parade ,1969,Psychadelic/Blues Rock,Owned AB
The Doors,Strange Days,1967,Psych Rock,Owned AB
The Front Bottoms,The Front Bottoms,2011,Indie/Rock,Owned DM
The Front Bottoms,Talon of the Hawk,2013,Emo/Indie,Owned DM
The Moody Blues,"Emily's Song 7"" (Japanese)",1974,Folk/Rock,Owned AB
The Smile,A Light for Attracting Attention,2022,Alternative/Rock,Owned DM
The Smiths,The Queen is Dead,1986,Indie/Pop,Owned AB
The Smiths,"Strangeways, Here we Come",1987,Indie/Pop,Owned AB
The Smiths,The Smiths,1984,Indie/Rock,Owned AB
The Smiths ,Meat is Murder ,1985,Indie/Rock,Want
The Story So Far,Under Soil & Dirt,2011,Incel Punk/Pop Punk,Owned DM
The Violent Femmes,S/T,1980,Alternative/Indie Rock,Owned AB
The Wonder Years,The Upsides,2013,Pop Punk /Emo,Owned DM
The Wonder Years,"Wont Be Pathetic Forever 7""",2008,Pop Punk,Owned DM
The World Is A Beautiful Place & I Am No Longer Afraid To Die,"Whenever, If Ever",2013,Emo/Hardcore,Owned AB
Title Fight,Floral Green,2012,Punk/Emo,Owned DM
Title Fight,Shed (Destroyed),2011,Punk/Hardcore,Owned DM
Title Fight,Shed,2011,Punk/Emo,Owned DM
Title Fight,Flood of 72,2011,Punk/Emo,Owned DM
Touche Amore,Parting The Sea Between Brightness And Me,2011,Skramz,Owned DM
Townes Van Zandt,For the Sake of the Song,1968,Folk/Country,Owned DM
Transit,Listen & Forgive,2011,Pop Punk,Owned DM
Turnover,Turnover,2011,Pop Punk,Owned DM
Ty Segall,Goodbye Bread,2011,Pysch Rock,Owned AB
"Tyler, the Creator ",Goblin,2011,Hip-Hop,Owned AB
Tyler Childers,Purgatory,2017,Folk/Country,Owned DM
Various,Saturday Night Fever OST,1977,Disco/Pop,Owned DM
Various,The Glamour Kills Tour,2012,Pop Punk,Owned DM
Velvet Underground,Golden Archive Compilation,1970,Rock,Owned AB
Vince Guaraldi Trio,Charlie Brown Christmas,1965,Christmas,Owned DM
Vince Staples,Vince Staples,2021,Rap,Owned DM
Violent Femmes,Violent Femmes,1983,Alternative/Rock,Owned AB
Washti Bunyon,Just Another Diamond Day,1970,Folk,Owned AB
Wavves,Wavvves,2009,Indie/Rock,Owned AB
Wavves,King of the Beach,2010,Psychedelic Rock/Lo-Fi/Pop,Want
Wavves,S/T,2008,Garage Rock/Lo-Fi,Want
Weezer,Pinkerton,1996,Alternative/Rock,Owned AB
Wilco,Being There,1996,Folk/Rock,Owned DM
Xiu Xiu,The Music of Twin Peaks,2016,Ambient/Electronic,Owned DM
Zach Bryan,American Heartbreak,2022,Folk/Country,Owned DM
Zach Bryan,Deann,2019,Folk/Country,Owned DM
Zach Bryan,Summertime Blues,2022,Folk/Country,Owned DM
