Title,Year,Director,Genre,Watch Date,Watch Status (AB),AB Rating (1-10),Watch Status (DM),DM Rating (1-10)
Deep Cuts,TBD,Sean Durkin,"Drama, Music",,Unreleased,,Unreleased,
Klara and the Sun,TBD,Taika Waititi,"Sci-Fi, Drama",,Unreleased,,Unreleased,
A Christmas Carol,TBD,Robert Eggers,"Gothic, Drama, Fantasy",,Unreleased,,Unreleased,
Artificial ,TBD,Luca Guadagnino,"Comedy, Drama",,Unreleased,,Unreleased,
Good Sex,TBD,Lena Dunham,"Comedy, Romance",,Unreleased,,Unreleased,
They Follow,TBD,David Robert Mitchell,"Horror, Supernatural, Mystery",,Unreleased,,Unreleased,
Primetime,TBD,Lance Oppenheim,"Thriller, Crime, Drama",,Unreleased,,Unreleased,
Checkmate,TBD,Nathan Fielder,"Drama, Biopic",,Unreleased,,Unreleased,
Untitled The Exorcist Film,TBD,Mike Flanagan,"Horror, Supernatural",,Unreleased,,Unreleased,
Strange Darling ,2023,JT Mollner,Thriller,12/07/2025,DNF,0,Unwatched,
